"strap","Parcelno"
"M2000001","146318113001"
"M2000002","146318113001"
"M2000003","146321300001"
"M2000004","146318113001"
"M2000007","146318113001"
"M2000008","157508200003"
"M2000010","146318113001"
"M2000012","146318113001"
"M2000013","146318208001"
"M2000015","157502303001"
"M2000016","131509092001"
"M2000018","131515101001"
"M2000019","146322300014"
"M2000020","157502303002"
"M2000021","157502303002"
"M2000026","146320400007"
"M2000027","146113149001"
"M2000029","157502303002"
"M2000031","157502280004"
"M2000033","157502400007"
"M2000034","157502400007"
"M2000035","146321300001"
"M2000036","157511100019"
"M2000038","157502400007"
"M2000040","157511100019"
"M2000041","157511100019"
"M2000042","146318208001"
"M2000044","157502303002"
"M2000045","146113149001"
"M2000046","157511100019"
"M2000047","157502105004"
"M2000048","146322300014"
"M2000049","157502303001"
"M2000053","146318208001"
"M2000054","120335005006"
"M2000055","146321300001"
"M2000056","157511100019"
"M2000057","157502400007"
"M2000061","146318113001"
"M2000062","146318208001"
"M2000064","157721000024"
"M2000066","120534238001"
"M2000071","157511100019"
"M2000072","146320400007"
"M2000073","131509092001"
"M2000076","120321000008"
"M2000077","131710004001"
"M2000078","131509092001"
"M2000079","146318208001"
"M2000080","146318113001"
"M2000081","146321300001"
"M2000082","146321300001"
"M2000083","146318208001"
"M2000084","157511100019"
"M2000085","157511100019"
"M2000087","157502400007"
"M2000088","157502400007"
"M2000089","157502400007"
"M2000090","146321300001"
"M2000091","157511100019"
"M2000092","157511100019"
"M2000093","131509092001"
"M2000096","157721000024"
"M2000097","146318208001"
"M2000099","146318113001"
"M2000101","146318113001"
"M2000102","146322300014"
"M2000103","157502400007"
"M2000105","131515101001"
"M2000107","157502400007"
"M2000108","157502400007"
"M2000110","157502303001"
"M2000111","131509092001"
"M2000112","146320400007"
"M2000114","146318113001"
"M2000116","157502303001"
"M2000117","146318208001"
"M2000118","131509092001"
"M2000119","146329241002"
"M2000121","157511100019"
"M2000122","146322300014"
"M2000123","146322300014"
"M2000125","157502400007"
"M2000128","157511100019"
"M2000129","146322300014"
"M2000130","131515101001"
"M2000132","131509092001"
"M2000133","157502303001"
"M2000134","146320400007"
"M2000135","146318113001"
"M2000136","146322300014"
"M2000137","131509092001"
"M2000138","157511100019"
"M2000139","131515101001"
"M2000140","157502400007"
"M2000141","157511100019"
"M2000142","157502303001"
"M2001001","131509092001"
"M2001002","131509092001"
"M2001004","157502303002"
"M2001007","157502303001"
"M2001008","157508200003"
"M2001010","146318208001"
"M2001011","157502400007"
"M2001016","157511100019"
"M2001018","157502303001"
"M2001021","146318208001"
"M2001023","146322300014"
"M2001024","146318208001"
"M2001025","120534205001"
"M2001026","157511100019"
"M2001027","120534205001"
"M2001030","146318113001"
