"","id.musa","address","id.apn","id.acct","lot.sqft"
"1",2400,"625 IRIS  AVE  BOULDER Colorado","146124400019","R0000030",8420
"2",10885,"1440 BELLEVUE  DR  BOULDER Colorado","157706234002","R0000052",16122
"3",4666,"630 NORTHSTAR  CT  BOULDER Colorado","146113401003","R0000067",8909
"4",3407,"2200 EDGEWOOD  DR  BOULDER Colorado","146330104001","R0000084",10458
"5",558,"3241 11TH  ST  BOULDER Colorado","146124427002","R0000098",8202
"6",104,"3845 CLOVERLEAF  DR  BOULDER Colorado","146319200004","R0000099",13173
"7",7558,"1430 MOSS ROCK  PL  BOULDER Colorado","146319208015","R0000104",7198
"8",4074,"3355 4TH  ST  BOULDER Colorado","146124300001","R0000120",17995
"9",4244,"295 BELLEVUE  DR  BOULDER Colorado","157706232007","R0000125",11570
"10",3862,"520 UNIVERSITY  AVE  BOULDER Colorado","146136100051","R0000141",10405
"11",6076,"2236 COLUMBINE  AVE  BOULDER Colorado","157706104008","R0000185",6555
"12",3153,"3500 CATALPA  WAY  BOULDER Colorado","146319217009","R0000197",6963
"13",1257,"980 COLLEGE  AVE  BOULDER Colorado","146331309022","R0000198",2384
"14",2784,"1341 CEDAR  AVE  BOULDER Colorado","146330207007","R0000203",7401
"15",3624,"2278 NICHOLL  ST  BOULDER Colorado","146330103008","R0000214",8766
"16",3775,"916 12TH  ST  BOULDER Colorado","146331315003","R0000215",6029
"17",8629,"1610 GROVE  ST  BOULDER Colorado","146330365002","R0000242",5336
"18",10760,"1010 CEDAR  AVE  BOULDER Colorado","146125136002","R0000243",5972
"19",3741,"3069 5TH  ST  BOULDER Colorado","146124401017","R0000257",9598
"20",5502,"3325 FOLSOM  ST  BOULDER Colorado","146319401012","R0000266",12984
"21",859,"3030 24TH  ST  BOULDER Colorado","146319427011","R0000284",11460
"22",157,"310 NORTON  ST A BOULDER Colorado","157706407004","R0000299",10153
"23",4689,"3030 6TH  ST  BOULDER Colorado","146124418008","R0000312",9605
"24",4669,"2958 6TH  ST  BOULDER Colorado","146125149001","R0000330",6564
"25",6694,"709 IRIS  AVE  BOULDER Colorado","146124400013","R0000352",7162
"26",2230,"2326 GOSS  ST  BOULDER Colorado","146330831004","R0000367",5876
"27",1521,"1081 LINCOLN  PL  BOULDER Colorado","146331310019","R0000383",2739
"28",11132,"400 CHRISTMAS TREE  DR  BOULDER Colorado","146136433002","R0000391",12514
"29",2695,"130 30TH  ST  BOULDER Colorado","157705211010","R0000420",6342
"30",5270,"2140 KOHLER  DR  BOULDER Colorado","157706409002","R0000424",49481
"31",266,"1225 MARIPOSA  AVE  BOULDER Colorado","157706227002","R0000426",16820
"32",9690,"419 16TH  ST  BOULDER Colorado","157706212004","R0000428",6946
"33",1364,"840 MAXWELL  AVE  BOULDER Colorado","146125402001","R0000444",4595
"34",4484,"637 PINE  ST  BOULDER Colorado","146125428006","R0000445",11390
"35",5101,"835 8TH  ST  BOULDER Colorado","146136421002","R0000448",12505
"36",276,"512 MARINE  ST  BOULDER Colorado","146136105019","R0000453",9947
"37",11273,"809 PINE  ST  BOULDER Colorado","146125420002","R0000459",24561
"38",9663,"3135 5TH  ST  BOULDER Colorado","146124402015","R0000460",7290
"39",5027,"2910 19TH  ST  BOULDER Colorado","146330111004","R0000462",7935
"40",6420,"951 GRANT  PL  BOULDER Colorado","146136415005","R0000466",6187
"41",5685,"1430 DELLWOOD  AVE  BOULDER Colorado","146330206004","R0000472",6563
"42",11099,"3030 23RD  ST  BOULDER Colorado","146319426011","R0000490",7805
"43",2641,"3500 KIRKWOOD  PL  BOULDER Colorado","146319110014","R0000492",14335
"44",6060,"3025 BIRCH  AVE  BOULDER Colorado","157705210020","R0000503",6208
"45",11000,"2750 UNIVERSITY HEIGHTS  AVE  BOULDER Colorado","146332202002","R0000504",10433
"46",5225,"1545 HIGH  ST  BOULDER Colorado","146330226014","R0000510",10207
"47",3240,"2860 4TH  ST  BOULDER Colorado","146125154001","R0000533",8656
"48",6809,"335 28TH  ST  BOULDER Colorado","157705204025","R0000535",6313
"49",10994,"2705 15TH  ST A BOULDER Colorado","146330220010","R0000540",7647
"50",6068,"1819 PINE  ST  BOULDER Colorado","146330508007","R0000548",7139
"51",4144,"2140 LINDEN  AVE  BOULDER Colorado","146319108002","R0000563",34288
"52",4205,"1396 NORTHRIDGE  CT  BOULDER Colorado","146318319007","R0000569",6930
"53",4171,"2020 BALSAM  DR  BOULDER Colorado","146330116003","R0000579",5989
"54",7794,"931 LINCOLN  PL  BOULDER Colorado","146331311013","R0000594",3796
"55",1793,"3018 14TH  ST  BOULDER Colorado","146319318003","R0000616",7461
"56",3160,"2590 DARTMOUTH  AVE  BOULDER Colorado","157706403008","R0000637",7229
"57",398,"3235 10TH  ST  BOULDER Colorado","146124400141","R0000639",10713
"58",6284,"1915 GOSS  ST  BOULDER Colorado","146330815004","R0000656",7122
"59",10161,"882 UNIVERSITY  AVE  BOULDER Colorado","146136127011","R0000660",6921
"60",9831,"600 SPRUCE  ST  BOULDER Colorado","146125436004","R0000665",17234
"61",4520,"2996 23RD  ST  BOULDER Colorado","146319426015","R0000674",7039
"62",3106,"429 HIGHLAND  AVE  BOULDER Colorado","146125407008","R0000687",7031
"63",8669,"617 MAPLETON  AVE  BOULDER Colorado","146125404005","R0000702",8286
"64",8436,"2940 19TH  ST  BOULDER Colorado","146319436001","R0000706",12932
"65",226,"2909 4TH  ST  BOULDER Colorado","146125201006","R0000804",6253
"66",11102,"1927 BLUFF  ST  BOULDER Colorado","146330536002","R0000830",2967
"67",7219,"1590 CASCADE  AVE  BOULDER Colorado","146331334017","R0000838",6173
"68",2099,"2060 FLORAL  DR  BOULDER Colorado","146319422009","R0000844",9690
"69",2067,"1223 6TH  ST  BOULDER Colorado","146136135007","R0000845",6849
"70",8684,"3122 9TH  ST  BOULDER Colorado","146124410009","R0000847",6141
"71",2980,"2801 ELM  AVE  BOULDER Colorado","157705202008","R0000849",6292
"72",1273,"603 NORTH  ST  BOULDER Colorado","146125125012","R0000871",3871
"73",3314,"1040 AURORA  AVE  BOULDER Colorado","146331324018","R0000882",2258
"74",5219,"3063 7TH  ST  BOULDER Colorado","146124418018","R0000888",6390
"75",2256,"2385 4TH  ST  BOULDER Colorado","146125304001","R0000908",7572
"76",4973,"2017 ARAPAHOE  AVE  BOULDER Colorado","146330845010","R0000921",5031
"77",10021,"2225 FLORAL  DR  BOULDER Colorado","146319425011","R0000953",7619
"78",1959,"1401 BLUEBELL  AVE  BOULDER Colorado","157706229012","R0000954",12004
"79",9010,"550 IRIS  AVE  BOULDER Colorado","146124400039","R0000965",9035
"80",4075,"2656 4TH  ST A BOULDER Colorado","146125111005","R0000968",7940
"81",8747,"1920 VISTA  DR  BOULDER Colorado","146319407002","R0000971",8539
"82",6215,"3182 7TH  ST  BOULDER Colorado","146124416002","R0000992",6281
"83",11226,"2885 16TH  ST  BOULDER Colorado","146330213010","R0001003",7548
"84",5609,"1027 10TH  ST  BOULDER Colorado","146331309014","R0001034",6360
"85",7850,"1515 SUNSET  BLVD  BOULDER Colorado","146330226050","R0001038",16881
"86",5119,"811 14TH  ST  BOULDER Colorado","146331321012","R0001062",9507
"87",7940,"2425 FOREST  AVE  BOULDER Colorado","146319431006","R0001077",9169
"88",7179,"315 HARVARD  LN  BOULDER Colorado","157705323013","R0001097",9862
"89",10427,"1930 COLUMBINE  AVE  BOULDER Colorado","157706117001","R0001099",8227
"90",8995,"1014 MAPLETON  AVE  BOULDER Colorado","146125419002","R0001111",14368
"91",6539,"2505 KOHLER  DR  BOULDER Colorado","157706408019","R0001112",26100
"92",405,"1200 AURORA  AVE  BOULDER Colorado","146331322001","R0001114",11892
"93",8950,"2912 4TH  ST  BOULDER Colorado","146125155006","R0001139",9357
"94",6954,"2825 CORDRY  CT  BOULDER Colorado","146332200015","R0001148",10616
"95",6948,"3090 5TH  ST  BOULDER Colorado","146124423001","R0001158",6281
"96",8649,"125 BELLEVUE  DR  BOULDER Colorado","157706236007","R0001176",25624
"97",5911,"755 GRAPE  AVE  BOULDER Colorado","146124400102","R0001183",6349
"98",9381,"750 14TH  ST A BOULDER Colorado","146331333005","R0001185",6228
"99",4491,"1010 ROSE HILL  DR  BOULDER Colorado","146136409009","R0001200",9961
"100",4702,"3161 7TH  ST  BOULDER Colorado","146124419019","R0001204",6384
"101",1918,"505 DELLWOOD  AVE  BOULDER Colorado","146124423009","R0001207",6094
"102",4916,"525 DELLWOOD  AVE  BOULDER Colorado","146124423010","R0001208",6004
"103",9483,"1010 GRAPE  AVE  BOULDER Colorado","146124429003","R0001211",8142
"104",2466,"2861 20TH  ST  BOULDER Colorado","146330111018","R0001217",7952
"105",6605,"2495 JUNIPER  AVE  BOULDER Colorado","146319114009","R0001221",6317
"106",8405,"2029 COLUMBINE  AVE  BOULDER Colorado","157706113009","R0001244",13487
"107",2971,"2305 FOREST  AVE  BOULDER Colorado","146319431001","R0001252",8452
"108",1091,"2200 FLORAL  DR  BOULDER Colorado","146319424010","R0001261",8774
"109",881,"2100 BASELINE  RD  BOULDER Colorado","157706106001","R0001264",7022
"110",8765,"415 DRAKE  ST  BOULDER Colorado","157705330001","R0001292",12676
"111",8305,"922 12TH  ST  BOULDER Colorado","146331315002","R0001301",6345
"112",5,"3625 CLOVERLEAF  DR  BOULDER Colorado","146319214014","R0001322",8656
"113",1330,"745 PINE  ST  BOULDER Colorado","146125421003","R0001326",7698
"114",1038,"3075 9TH  ST  BOULDER Colorado","146124412019","R0001330",6153
"115",10174,"3675 ASPEN  CT  BOULDER Colorado","146319210003","R0001368",8661
"116",7531,"2970 18TH  ST  BOULDER Colorado","146319328003","R0001383",6186
"117",1000,"2996 24TH  ST  BOULDER Colorado","146319427015","R0001389",6926
"118",2182,"2213 MAPLETON  AVE  BOULDER Colorado","146330607010","R0001397",6723
"119",9172,"912 JUNIPER  AVE  BOULDER Colorado","146124100102","R0001456",15216
"120",4887,"2985 13TH  ST  BOULDER Colorado","146319300048","R0001469",7213
"121",4023,"2003 BLUFF  ST  BOULDER Colorado","146330503003","R0001515",6942
"122",8177,"2366 KEYSTONE  CT  BOULDER Colorado","146319114036","R0001518",3797
"123",5923,"2295 GRAPE  AVE  BOULDER Colorado","146319411002","R0001539",9191
"124",8634,"603 MAXWELL  AVE  BOULDER Colorado","146125106001","R0001552",3479
"125",11151,"1928 6TH  ST  BOULDER Colorado","146125442005","R0001556",2271
"126",10727,"431 ARAPAHOE  AVE A BOULDER Colorado","146136101015","R0001560",9651
"127",9881,"920 14TH  ST  BOULDER Colorado","146331317010","R0001584",6221
"128",7091,"2919 6TH  ST  BOULDER Colorado","146125150012","R0001593",6154
"129",10467,"425 DRAKE  ST  BOULDER Colorado","157705330002","R0001603",11588
"130",4187,"1425 BELLEVUE  DR  BOULDER Colorado","157706233001","R0001635",16637
