Rank,District,District URL,district_id,City,City URL,Zip,County,Low Grade,High Grade,Number Students,Number of Ranked Elementary Schools,Number of Ranked Middle Schools,Number of Ranked High Schools,Rank Score (2021),Rank Score (2020),Rank (2020),Rank Change from 2020,SchoolDigger Star Rating (2021)
1,Cheyenne Mountain School District No. 12,https://www.schooldigger.com/go/CO/district/02940/search.aspx,"""02940""",Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80905,El Paso County,PK,12,5309,6,1,2,0.8919397,0.9147923,1,0,5
2,Lewis-Palmer Consolidated School District No. 38,https://www.schooldigger.com/go/CO/district/05820/search.aspx,"""05820""",Monument,https://www.schooldigger.com/go/CO/city/Monument/search.aspx,80132,El Paso County,PK,12,6756,5,0,2,0.8310126,0.7817868,5,3,5
3,Swink School District No. 33,https://www.schooldigger.com/go/CO/district/06840/search.aspx,"""06840""",Swink,https://www.schooldigger.com/go/CO/city/Swink/search.aspx,81077,Otero County,KG,12,321,1,1,0,0.8263958,0.6614164,22,19,5
4,Littleton School District No. 6,https://www.schooldigger.com/go/CO/district/05310/search.aspx,"""05310""",Littleton,https://www.schooldigger.com/go/CO/city/Littleton/search.aspx,80120,Arapahoe County,PK,12,14988,12,5,3,0.7836177,0.792603,3,-1,5
5,Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,"""02490""",Boulder,https://www.schooldigger.com/go/CO/city/Boulder/search.aspx,80303,Boulder County,PK,12,31000,30,14,8,0.7802487,0.7749163,7,2,5
6,Ridgway School District No. R-2,https://www.schooldigger.com/go/CO/district/06210/search.aspx,"""06210""",Ridgway,https://www.schooldigger.com/go/CO/city/Ridgway/search.aspx,81432,Ouray County,PK,12,354,1,1,1,0.7691993,0.7862886,4,-2,5
7,Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,"""01920""",Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80920,El Paso County,PK,12,26603,20,8,8,0.7478203,0.7687456,10,3,5
8,Gilpin County School District No. Re-1,https://www.schooldigger.com/go/CO/district/04230/search.aspx,"""04230""",Golden,https://www.schooldigger.com/go/CO/city/Golden/search.aspx,80422,Gilpin County,PK,12,498,1,1,1,0.7240982,0.7001659,18,10,5
9,Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",Castle Rock,https://www.schooldigger.com/go/CO/city/Castle+Rock/search.aspx,80108,Douglas County,PK,12,67305,59,25,11,0.7120146,0.718525,15,6,5
10,Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,"""03990""",Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80521,Larimer County,PK,12,30727,28,13,7,0.7035742,0.7409755,12,2,4
11,Telluride School District No. R-1,https://www.schooldigger.com/go/CO/district/06870/search.aspx,"""06870""",Telluride,https://www.schooldigger.com/go/CO/city/Telluride/search.aspx,81435,San Miguel County,PK,12,885,1,1,1,0.6978579,0.8482535,2,-9,4
12,Platte Canyon School District No. 1,https://www.schooldigger.com/go/CO/district/02370/search.aspx,"""02370""",Bailey,https://www.schooldigger.com/go/CO/city/Bailey/search.aspx,80421,Park County,PK,12,889,1,1,1,0.694216,0.7040325,17,5,4
13,McClave School District No. Re-2,https://www.schooldigger.com/go/CO/district/05580/search.aspx,"""05580""",Mc Clave,https://www.schooldigger.com/go/CO/city/Mc+Clave/search.aspx,81057,Bent County,PK,12,229,0,0,1,0.6923076,0.5888705,32,19,4
14,Limon School District No. Re 4J,https://www.schooldigger.com/go/CO/district/05280/search.aspx,"""05280""",Limon,https://www.schooldigger.com/go/CO/city/Limon/search.aspx,80828,Lincoln County,PK,12,450,1,1,0,0.6907962,0.6284314,24,10,4
15,Meeker School District Re1,https://www.schooldigger.com/go/CO/district/05610/search.aspx,"""05610""",Meeker,https://www.schooldigger.com/go/CO/city/Meeker/search.aspx,81641,Rio Blanco County,PK,12,760,1,1,1,0.6868302,0.7318877,14,-1,4
16,Weld County Reorganized School District No. Re-4,https://www.schooldigger.com/go/CO/district/07350/search.aspx,"""07350""",Windsor,https://www.schooldigger.com/go/CO/city/Windsor/search.aspx,80550,Weld County,PK,12,7313,5,3,2,0.6774229,0.7054408,16,0,4
17,East Grand School District No. 2,https://www.schooldigger.com/go/CO/district/04320/search.aspx,"""04320""",Granby,https://www.schooldigger.com/go/CO/city/Granby/search.aspx,80446,Grand County,PK,12,1354,2,1,1,0.6246026,0.6054407,29,12,4
18,Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,"""02910""",Greenwood Village,https://www.schooldigger.com/go/CO/city/Greenwood+Village/search.aspx,80111,Arapahoe County,PK,12,56228,40,14,6,0.6205627,0.6380716,23,5,4
19,Wiley School District No. Re-13 Jt,https://www.schooldigger.com/go/CO/district/07320/search.aspx,"""07320""",Wiley,https://www.schooldigger.com/go/CO/city/Wiley/search.aspx,81092,Prowers County,PK,12,238,1,0,0,0.6002844,NA,NA,NA,4
20,Gunnison Watershed School District Re1J,https://www.schooldigger.com/go/CO/district/04470/search.aspx,"""04470""",Gunnison,https://www.schooldigger.com/go/CO/city/Gunnison/search.aspx,81230,Gunnison County,PK,12,2111,1,0,2,0.5798842,0.7803122,6,-14,4
21,South Routt School District No. Re 3,https://www.schooldigger.com/go/CO/district/05910/search.aspx,"""05910""",Oak Creek,https://www.schooldigger.com/go/CO/city/Oak+Creek/search.aspx,80467,Routt County,PK,12,325,0,1,1,0.5796553,0.6166686,27,6,4
22,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",Golden,https://www.schooldigger.com/go/CO/city/Golden/search.aspx,80401,Jefferson County,PK,12,84062,79,33,20,0.5640278,0.5740541,36,14,4
23,St. Vrain Valley School District No. Re1J,https://www.schooldigger.com/go/CO/district/05370/search.aspx,"""05370""",Longmont,https://www.schooldigger.com/go/CO/city/Longmont/search.aspx,80501,Boulder County,PK,12,32855,27,15,8,0.5443996,0.5910931,31,8,4
24,Miami-Yoder Joint District No. 60,https://www.schooldigger.com/go/CO/district/05670/search.aspx,"""05670""",Rush,https://www.schooldigger.com/go/CO/city/Rush/search.aspx,80833,El Paso County,PK,12,288,1,0,0,0.541963,0.2606363,110,86,4
25,Elizabeth School District,https://www.schooldigger.com/go/CO/district/03720/search.aspx,"""03720""",Elizabeth,https://www.schooldigger.com/go/CO/city/Elizabeth/search.aspx,80107,Elbert County,PK,12,2373,2,2,1,0.5374725,0.5479439,38,13,4
26,Manitou Springs School District No. 14,https://www.schooldigger.com/go/CO/district/05490/search.aspx,"""05490""",Manitou Springs,https://www.schooldigger.com/go/CO/city/Manitou+Springs/search.aspx,80829,El Paso County,PK,12,1441,1,1,1,0.5283993,0.5420641,42,16,4
27,Delta County Joint District No. 50,https://www.schooldigger.com/go/CO/district/03330/search.aspx,"""03330""",Delta,https://www.schooldigger.com/go/CO/city/Delta/search.aspx,81416,Delta County,PK,12,5032,5,4,4,0.5156318,0.4840218,56,29,4
28,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,"""03360""",Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80203,Denver County,PK,12,92143,42,26,18,0.4949111,0.369531,91,63,3
29,Fremont Re-1,https://www.schooldigger.com/go/CO/district/02790/search.aspx,"""02790""",Canon City,https://www.schooldigger.com/go/CO/city/Canon+City/search.aspx,81212,Fremont County,PK,12,3467,6,4,1,0.4852948,0.4787353,60,31,3
30,Sanford School District No. 6,https://www.schooldigger.com/go/CO/district/06390/search.aspx,"""06390""",Sanford,https://www.schooldigger.com/go/CO/city/Sanford/search.aspx,81151,Conejos County,PK,12,353,1,0,1,0.4840689,0.5987172,30,0,3
31,State Charter School Institute,https://www.schooldigger.com/go/CO/district/00020/search.aspx,"""00020""",Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80202,Denver County,PK,12,18275,18,15,11,0.4735009,0.5315947,44,13,3
32,School District No. Re-20 Weldon Valley,https://www.schooldigger.com/go/CO/district/07140/search.aspx,"""07140""",Weldona,https://www.schooldigger.com/go/CO/city/Weldona/search.aspx,80653,Morgan County,PK,12,214,1,0,0,0.4722617,(n/a),(n/a),(n/a),3
33,Thompson School District R-2j,https://www.schooldigger.com/go/CO/district/05400/search.aspx,"""05400""",Loveland,https://www.schooldigger.com/go/CO/city/Loveland/search.aspx,80537,Larimer County,PK,12,16163,17,8,4,0.4694768,0.5306233,45,12,3
34,Adams 12 Five Star Schools,https://www.schooldigger.com/go/CO/district/06900/search.aspx,"""06900""",Thornton,https://www.schooldigger.com/go/CO/city/Thornton/search.aspx,80241,Adams County,PK,12,38648,28,13,7,0.4685105,0.5016771,50,16,3
35,Calhan District No. RJ1,https://www.schooldigger.com/go/CO/district/02730/search.aspx,"""02730""",Calhan,https://www.schooldigger.com/go/CO/city/Calhan/search.aspx,80808,El Paso County,PK,12,471,0,1,1,0.4546027,0.4159209,73,38,3
36,Durango School District No. 9-R,https://www.schooldigger.com/go/CO/district/03480/search.aspx,"""03480""",Durango,https://www.schooldigger.com/go/CO/city/Durango/search.aspx,81301,La Plata County,PK,12,5543,6,3,1,0.4347053,0.4832325,58,22,3
37,Roaring Fork School District No. Re-1,https://www.schooldigger.com/go/CO/district/04260/search.aspx,"""04260""",Glenwood Springs,https://www.schooldigger.com/go/CO/city/Glenwood+Springs/search.aspx,81601,Garfield County,PK,12,5647,0,3,3,0.4322632,0.4795683,59,22,3
38,Akron School District No. R-1,https://www.schooldigger.com/go/CO/district/02040/search.aspx,"""02040""",Akron,https://www.schooldigger.com/go/CO/city/Akron/search.aspx,80720,Washington County,PK,12,371,1,0,0,0.4310099,0.3071835,103,65,3
39,Elbert School District No. 200,https://www.schooldigger.com/go/CO/district/03690/search.aspx,"""03690""",Elbert,https://www.schooldigger.com/go/CO/city/Elbert/search.aspx,80106,El Paso County,PK,12,254,0,0,1,0.4230769,0.379562,86,47,3
40,El Paso County Colorado School District 49,https://www.schooldigger.com/go/CO/district/03870/search.aspx,"""03870""",Peyton,https://www.schooldigger.com/go/CO/city/Peyton/search.aspx,80831,El Paso County,PK,12,23890,11,7,6,0.4135492,0.5481717,37,-3,3
