rank,school,school_url,school_id,district,district_url,district_id,address,city,city_url,zip,county,phone,low_grade,high_grade,is_title_i,is_charter,is_magnet,is_virtual,number_students,number_full-time_teachers,student_teacher_ratio,pct_free/disc_lunch,pct_african_american,pct_american_indian,pct_asian,pct_hispanic,pct_pacific_islander,pct_two_or_more_races,pct_white,average_standard_score_(2020-21),average_standard_score_(2018-19),rank_(2018-19),rank_change_from_(2018-19),schooldigger_star_rating
1,Polaris Elementary School,https://www.schooldigger.com/go/CO/schools/0336001767/school.aspx,"""0336001767""",School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,"""03360""",410 Park Avenue West,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80205,Denver County,(720) 424-7860,01,05,No,No,No,No,330,17.7,18.5,7.3,4.8,0.9,4.5,9.7,0,7.9,72.1,99.5,99.7,1,0,5
2,Dennison Elementary School,https://www.schooldigger.com/go/CO/schools/0480000710/school.aspx,"""0480000710""",Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",401 Independence Street,Lakewood,https://www.schooldigger.com/go/CO/city/Lakewood/search.aspx,80226,Jefferson County,(303) 982-6382,KG,06,No,No,No,No,629,30.2,20.8,7.9,0.3,0.3,7.8,12.2,0.5,5.7,73.1,99.3,98.9,5,3,5
3,Zach Elementary School,https://www.schooldigger.com/go/CO/schools/0399001727/school.aspx,"""0399001727""",Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,"""03990""",3715 Kechter Road,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80528,Larimer County,(970) 488-5100,KG,05,No,No,No,No,562,32,17.5,7.3,1.6,0,8.9,5.9,0,8.5,75.1,98.9,98.6,7,4,5
4,Parker Core Knowledge Charter School,https://www.schooldigger.com/go/CO/schools/0345000812/school.aspx,"""0345000812""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",1161 North Pine Drive,Parker,https://www.schooldigger.com/go/CO/city/Parker/search.aspx,80138,Douglas County,(303) 840-7070,KG,08,No,Yes,No,No,702,45,15.6,2.7,0.1,0.1,16.4,9,0,4.4,69.9,98.9,99.2,3,-1,5
5,Aurora Quest K-8,https://www.schooldigger.com/go/CO/schools/0234001674/school.aspx,"""0234001674""",Aurora Joint District No. 28,https://www.schooldigger.com/go/CO/district/02340/search.aspx,"""02340""",472 South Wheeling St,Aurora,https://www.schooldigger.com/go/CO/city/Aurora/search.aspx,80012,Arapahoe County,(303) 343-3664,KG,08,No,No,No,No,595,27.9,21.2,34.1,13.4,0,12.6,20.7,0.5,8.2,44.5,98.8,99.6,2,-3,5
6,Challenge School,https://www.schooldigger.com/go/CO/schools/0291000763/school.aspx,"""0291000763""",Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,"""02910""",9659 East Mississippi Avenue,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80231,Arapahoe County,(720) 747-2100,PK,08,No,No,Yes,No,528,30.5,17.2,14.8,17.8,0.2,20.6,11,0.2,10.4,39.8,98.6,98,11,5,5
7,High Peaks Elementary School,https://www.schooldigger.com/go/CO/schools/0249001243/school.aspx,"""0249001243""",Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,"""02490""",3995 East Aurora Avenue,Boulder,https://www.schooldigger.com/go/CO/city/Boulder/search.aspx,80303,Boulder County,(720) 561-6500,KG,05,No,No,No,No,296,16.7,17.6,6.8,2,0,20.9,7.8,0,8.1,61.1,98,98.9,4,-3,5
8,Liberty Common Charter School,https://www.schooldigger.com/go/CO/schools/0399001608/school.aspx,"""0399001608""",Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,"""03990""",1725 Sharp Point Drive,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80525,Larimer County,(970) 482-9800,KG,12,No,Yes,No,No,1148,58.8,19.5,1.1,0.6,0.3,5,4.6,0,4.2,85.4,97.9,96.7,18,10,5
9,Cheyenne Mountain Elementary School,https://www.schooldigger.com/go/CO/schools/0294001391/school.aspx,"""0294001391""",Cheyenne Mountain School District No. 12,https://www.schooldigger.com/go/CO/district/02940/search.aspx,"""02940""",5250 Farthing Drive,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80906,El Paso County,(719) 576-3080,KG,06,No,No,No,No,334,21.3,15.6,2.1,2.1,0,3.6,10.8,0,6.9,76.6,97.6,97.1,15,6,5
10,Parmalee Elementary School,https://www.schooldigger.com/go/CO/schools/0480000768/school.aspx,"""0480000768""",Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",4460 S Parmalee Gulch,Indian Hills,https://www.schooldigger.com/go/CO/city/Indian+Hills/search.aspx,80454,Jefferson County,(303) 982-8014,KG,05,No,No,No,No,313,17.2,18.1,7,0.6,0.3,1.6,2.9,0,2.2,92.3,97.6,96.4,20,10,5
11,Superior Elementary School,https://www.schooldigger.com/go/CO/schools/0249001518/school.aspx,"""0249001518""",Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,"""02490""",1800 South Indiana St.,Superior,https://www.schooldigger.com/go/CO/city/Superior/search.aspx,80027,Boulder County,(720) 561-4100,KG,05,No,No,No,No,435,23.7,18.3,3.9,0,0.2,8.3,6.7,0,6.2,78.6,97.5,97,16,5,5
12,Hulstrom Options K-8 School,https://www.schooldigger.com/go/CO/schools/0690001178/school.aspx,"""0690001178""",Adams 12 Five Star Schools,https://www.schooldigger.com/go/CO/district/06900/search.aspx,"""06900""",11551 Wyco Drive,Northglenn,https://www.schooldigger.com/go/CO/city/Northglenn/search.aspx,80233,Adams County,(720) 972-5400,KG,08,No,No,No,No,678,35.7,18.9,9.3,2.1,0.4,15.9,12.4,0.1,8.3,60.8,97.5,98.8,6,-6,5
13,William (Bill) Roberts Ece-8 School,https://www.schooldigger.com/go/CO/schools/0336006332/school.aspx,"""0336006332""",School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,"""03360""",2100 Akron Way,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80238,Denver County,(720) 424-2640,PK,08,No,No,No,No,932,44.8,20.7,9.8,6.1,0,2.4,11.1,0.2,5.6,74.7,97,94.4,31,18,5
14,Kyffin Elementary School,https://www.schooldigger.com/go/CO/schools/0480000745/school.aspx,"""0480000745""",Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",205 North Flora Way,Golden,https://www.schooldigger.com/go/CO/city/Golden/search.aspx,80401,Jefferson County,(303) 982-5760,PK,05,No,No,No,No,464,23.3,19.8,11.6,0,0,3.7,11,0,3.9,81.5,97,89.4,81,67,5
15,Blue Mountain Elementary,https://www.schooldigger.com/go/CO/schools/0537006381/school.aspx,"""0537006381""",St. Vrain Valley School District No. Re1J,https://www.schooldigger.com/go/CO/district/05370/search.aspx,"""05370""",1260 Mountain Drive,Longmont,https://www.schooldigger.com/go/CO/city/Longmont/search.aspx,80503,Boulder County,(720) 652-8220,PK,05,No,No,No,No,629,32.5,19.3,5.6,0.3,0,11.8,5.6,0,6.7,75.7,96.8,94,33,18,5
16,Cottonwood Creek Elementary School,https://www.schooldigger.com/go/CO/schools/0291000188/school.aspx,"""0291000188""",Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,"""02910""",11200 East Orchard Avenue,Englewood,https://www.schooldigger.com/go/CO/city/Englewood/search.aspx,80111,Arapahoe County,(720) 554-3200,PK,05,No,No,No,No,653,36.4,17.9,3.4,1.4,0.2,16.7,7.4,0.5,5.8,68.1,96.7,91.7,56,40,5
17,Steele Elementary School,https://www.schooldigger.com/go/CO/schools/0336000412/school.aspx,"""0336000412""",School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,"""03360""",320 South Marion Parkway,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80209,Denver County,(720) 424-3720,KG,05,No,No,No,No,489,27.8,17.5,8,1.2,0.2,1.6,10.4,0,7.2,79.3,96.7,91.3,60,43,5
18,Cory Elementary School,https://www.schooldigger.com/go/CO/schools/0336000331/school.aspx,"""0336000331""",School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,"""03360""",1550 South Steele Street,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80210,Denver County,(720) 424-8380,01,05,No,No,No,No,410,23.5,17.4,12.2,2.7,0,4.1,9,0,8.8,75.4,96.6,98.6,8,-10,5
19,Chinook Trail Elementary School,https://www.schooldigger.com/go/CO/schools/0192006329/school.aspx,"""0192006329""",Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,"""01920""",11795 Grand Lawn Circle,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80924,El Paso County,(719) 234-5700,KG,05,No,No,No,No,634,37.5,16.9,3.6,2.4,0.3,6.2,10.6,0.2,7.9,72.6,96.6,94.1,32,13,5
20,Heritage Elementary School,https://www.schooldigger.com/go/CO/schools/0345001740/school.aspx,"""0345001740""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",3350 Summit View Parkway,Highlands Ranch,https://www.schooldigger.com/go/CO/city/Highlands+Ranch/search.aspx,80126,Douglas County,(303) 387-6725,PK,06,No,No,No,No,439,27.7,15.8,8.2,0.9,0.2,4.8,10.3,0,4.6,79.3,96.4,86.7,103,83,5
21,Lois Lenski Elementary School,https://www.schooldigger.com/go/CO/schools/0531001300/school.aspx,"""0531001300""",Littleton School District No. 6,https://www.schooldigger.com/go/CO/district/05310/search.aspx,"""05310""",6350 South Fairfax Way,Centennial,https://www.schooldigger.com/go/CO/city/Centennial/search.aspx,80121,Arapahoe County,(303) 347-4575,KG,05,No,No,No,No,541,29,18.6,5.2,0.7,0,2,5.4,0.2,5.7,86,96.2,95.7,22,1,5
22,Traut Core Elementary School,https://www.schooldigger.com/go/CO/schools/0399000606/school.aspx,"""0399000606""",Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,"""03990""",2515 Timberwood Drive,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80528,Larimer County,(970) 488-7500,PK,05,No,No,No,No,510,26.3,19.3,13.1,1,0.6,12.7,9,0.2,4.7,71.8,96,97.7,12,-10,5
23,Bergen Valley Intermediate School,https://www.schooldigger.com/go/CO/schools/0480001603/school.aspx,"""0480001603""",Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",1422 Sugarbush Drive,Evergreen,https://www.schooldigger.com/go/CO/city/Evergreen/search.aspx,80439,Jefferson County,(303) 982-4964,03,05,No,No,No,No,280,15.7,17.8,4.6,1.4,0,0.4,6.4,0,2.5,89.3,96,92.8,47,24,5
24,Stone Mountain Elementary,https://www.schooldigger.com/go/CO/schools/0345006309/school.aspx,"""0345006309""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",10625 Weathersfield Way,Highlands Ranch,https://www.schooldigger.com/go/CO/city/Highlands+Ranch/search.aspx,80129,Douglas County,(720) 641-8117,PK,06,No,No,No,No,672,36.5,18.4,1.3,0.6,0.3,2.2,7.4,0,7.1,82.3,96,95,27,3,5
25,Northridge Elementary School,https://www.schooldigger.com/go/CO/schools/0345001339/school.aspx,"""0345001339""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",555 South Park Road,Highlands Ranch,https://www.schooldigger.com/go/CO/city/Highlands+Ranch/search.aspx,80126,Douglas County,(303) 387-6525,PK,06,No,No,No,No,632,36.5,17.3,10.8,1.4,0,12.5,13.3,0,6.8,66,96,92.8,46,21,5
26,Stargate Charter School,https://www.schooldigger.com/go/CO/schools/0690000728/school.aspx,"""0690000728""",Adams 12 Five Star Schools,https://www.schooldigger.com/go/CO/district/06900/search.aspx,"""06900""",14530 Washington Street,Thornton,https://www.schooldigger.com/go/CO/city/Thornton/search.aspx,80023,Adams County,(303) 450-3936,KG,12,No,Yes,No,No,1421,73.6,19.2,2.5,0.7,0.4,20.5,10.8,0,6.4,61.2,95.9,95.6,24,-2,5
27,Flatirons Elementary School,https://www.schooldigger.com/go/CO/schools/0249000115/school.aspx,"""0249000115""",Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,"""02490""",1150 7th Street,Boulder,https://www.schooldigger.com/go/CO/city/Boulder/search.aspx,80302,Boulder County,(720) 561-4600,KG,05,No,No,No,No,211,12.7,16.5,11.4,0.9,0,1.9,1.9,0,4.3,91,95.8,80.2,164,137,5
28,Homestead Elementary School,https://www.schooldigger.com/go/CO/schools/0291000195/school.aspx,"""0291000195""",Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,"""02910""",7451 South Homestead Parkway,Centennial,https://www.schooldigger.com/go/CO/city/Centennial/search.aspx,80112,Arapahoe County,(720) 554-3700,PK,05,No,No,No,No,473,30.3,15.6,6.6,1.1,0.8,8.9,9.9,0,7.6,71.7,95.8,91.1,63,35,5
29,Fairmount Elementary School,https://www.schooldigger.com/go/CO/schools/0480000721/school.aspx,"""0480000721""",Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",15975 West 50th Avenue,Golden,https://www.schooldigger.com/go/CO/city/Golden/search.aspx,80403,Jefferson County,(303) 982-5422,KG,05,No,No,No,No,621,31.2,19.9,5.3,0.5,0.6,3.4,5.6,0,2.9,87,95.7,93.9,36,7,5
30,Boulder Community School/Integrated Studies,https://www.schooldigger.com/go/CO/schools/0249001630/school.aspx,"""0249001630""",Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,"""02490""",3995 East Aurora Avenue,Boulder,https://www.schooldigger.com/go/CO/city/Boulder/search.aspx,80303,Boulder County,(720) 561-6500,KG,05,No,No,No,No,307,16.2,18.9,14,1,0,1.6,8.1,0.3,6.5,82.4,95.7,93.8,37,7,5
31,Westerly Creek Elementary,https://www.schooldigger.com/go/CO/schools/0336001957/school.aspx,"""0336001957""",School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,"""03360""",8800 East 28th Avenue,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80238,Denver County,(720) 424-3160,PK,05,No,No,No,No,721,42.7,16.8,9.8,5.5,0.6,3.6,13.3,0,7.4,69.6,95.6,95.6,23,-8,5
32,Bear Creek Elementary School,https://www.schooldigger.com/go/CO/schools/0249000099/school.aspx,"""0249000099""",Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,"""02490""",2500 Table Mesa Drive,Boulder,https://www.schooldigger.com/go/CO/city/Boulder/search.aspx,80305,Boulder County,(720) 561-3500,KG,05,No,No,No,No,400,22.4,17.8,2.3,0.5,0,10.3,5.3,0,9.3,74.8,95.4,98.4,10,-22,5
33,Fireside Elementary School,https://www.schooldigger.com/go/CO/schools/0249006154/school.aspx,"""0249006154""",Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,"""02490""",845 West Dahlia,Louisville,https://www.schooldigger.com/go/CO/city/Louisville/search.aspx,80027,Boulder County,(720) 561-7900,PK,05,No,No,No,No,484,27.8,17.3,10.5,0.4,0,4.1,10.7,0.2,6.8,77.7,95.4,91.3,61,28,5
34,Cherry Hills Village Elementary School,https://www.schooldigger.com/go/CO/schools/0291000187/school.aspx,"""0291000187""",Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,"""02910""",2400 East Quincy Avenue,Cherry Hills Village,https://www.schooldigger.com/go/CO/city/Cherry+Hills+Village/search.aspx,80110,Arapahoe County,(720) 747-2700,PK,05,No,No,No,No,531,32.3,16.3,4.1,0.9,0.9,5.5,6.6,0,6,80,95.1,96.2,21,-13,5
35,Eldorado Elementary School,https://www.schooldigger.com/go/CO/schools/0345001736/school.aspx,"""0345001736""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",1305 Timbervale Trail,Highlands Ranch,https://www.schooldigger.com/go/CO/city/Highlands+Ranch/search.aspx,80126,Douglas County,(303) 387-6325,PK,06,No,No,No,No,451,26.5,17,8,1.1,0,6,10.4,0,4.9,77.6,95,84.7,118,83,5
36,Devinny Elementary School,https://www.schooldigger.com/go/CO/schools/0480000711/school.aspx,"""0480000711""",Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",1725 South Wright Street,Lakewood,https://www.schooldigger.com/go/CO/city/Lakewood/search.aspx,80228,Jefferson County,(303) 982-9200,KG,05,No,No,No,No,475,24.8,19.1,13.7,0.2,0.2,2.9,12,0,6.9,77.7,94.9,97.3,14,-22,5
37,Wilder Elementary School,https://www.schooldigger.com/go/CO/schools/0531000893/school.aspx,"""0531000893""",Littleton School District No. 6,https://www.schooldigger.com/go/CO/district/05310/search.aspx,"""05310""",4300 West Ponds Circle,Littleton,https://www.schooldigger.com/go/CO/city/Littleton/search.aspx,80123,Arapahoe County,(303) 347-4750,PK,05,No,No,No,No,686,30.5,22.4,3.5,0.3,0.4,3.5,8.5,0,2.6,84.7,94.9,92,54,17,5
38,Gold Camp Elementary School,https://www.schooldigger.com/go/CO/schools/0294001591/school.aspx,"""0294001591""",Cheyenne Mountain School District No. 12,https://www.schooldigger.com/go/CO/district/02940/search.aspx,"""02940""",1805 Preserve Drive,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80906,El Paso County,(719) 327-2820,KG,06,No,No,No,No,472,29.4,16,10,1.7,0,1.9,11.4,0.2,6.1,78.6,94.3,90.4,67,29,5
39,Werner Elementary School,https://www.schooldigger.com/go/CO/schools/0399001440/school.aspx,"""0399001440""",Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,"""03990""",5400 Mail Creek Lane,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80525,Larimer County,(970) 488-5550,KG,05,No,No,No,No,484,28.3,17.1,12,0.6,0,4.8,8.3,0.4,5.4,80.6,94,95,28,-11,5
40,The Classical Academy Charter,https://www.schooldigger.com/go/CO/schools/0192001592/school.aspx,"""0192001592""",Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,"""01920""",975 Stout Road,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80921,El Paso County,(719) 484-0081,KG,06,No,Yes,No,No,2196,129.1,17,6.4,1.4,0.3,3.6,9,0.1,5.8,79.9,93.9,87.2,97,57,5
